judul_film,tahun_film,durasi_film,batas_usia,sinopsis_film,rating_film,jumlah_perating
80. Taken,2008,1h 30m,PG-13,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",7.7,(642K)
81. The Count of Monte Cristo,2002,2h 11m,PG-13,"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge.",7.7,(151K)
82. Black Hawk Down,2001,2h 24m,R,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis.",7.7,(429K)
83. Birdman or (The Unexpected Virtue of Ignorance),2014,1h 59m,R,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.",7.7,(672K)
84. The Magnificent Seven,1960,2h 8m,Approved,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.,7.7,(104K)
85. Airplane!,1980,1h 28m,PG,"After the crew becomes sick with food poisoning, a neurotic ex-fighter pilot must safely land a commercial airplane full of passengers.",7.7,(266K)
86. Tangled,2010,1h 40m,PG,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",7.7,(504K)
87. When Harry Met Sally...,1989,1h 35m,R,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.",7.7,(247K)
88. Mission: Impossible - Fallout,2018,2h 27m,PG-13,"A group of terrorists plans to detonate three plutonium cores for a simultaneous nuclear attack on different cities. Ethan Hunt, along with his IMF team, sets out to stop the carnage.",7.7,(384K)
89. Man on Fire,2004,2h 26m,R,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",7.7,(395K)
90. Blue Velvet,1986,2h,R,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.",7.7,(219K)
91. The Vanishing,1988,1h 47m,Not Rated,"Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor.",7.7,(47K)
92. First Blood,1982,1h 33m,R,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.,7.7,(280K)
93. Blazing Saddles,1974,1h 33m,R,"In order to ruin a western town and steal their land, a corrupt politician appoints a black sheriff, who promptly becomes his most formidable adversary.",7.7,(155K)
94. The Boy in the Striped Pajamas,2008,1h 34m,PG-13,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.",7.7,(251K)
95. Primal Fear,1996,2h 9m,R,"The murder of a high and mighty archbishop leads to the involvement of Martin Vail, Chicago's best attorney. As he studies the suspects, he becomes convinced of certain aspects, but there's more to the story than meets the eye.",7.7,(251K)
96. The Worst Person in the World,2021,2h 8m,R,"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is.",7.7,(103K)
97. Captain America: The Winter Soldier,2014,2h 16m,PG-13,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",7.7,(911K)
98. Y tu mamá también,2001,1h 46m,N/A,"In Mexico, two teenage boys and an older woman embark on a road trip and learn a thing or two about life and each other.",7.7,(130K)
99. Gattaca,1997,1h 46m,PG-13,"Vincent, an ""In-Valid"", assumes the identity of a member of the genetic elite to pursue his goal of traveling into space with the Gattaca Aerospace Corporation. However, a week before his mission, a murder marks Vincent as a suspect.",7.7,(328K)
100. Sense and Sensibility,1995,2h 16m,PG,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.",7.7,(128K)
"101. O Brother, Where Art Thou?",2000,1h 47m,PG-13,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",7.7,(335K)
102. The Conversation,1974,1h 53m,PG,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered.",7.7,(124K)
103. Donnie Brasco,1997,2h 7m,R,An FBI undercover agent infiltrates the mob and finds himself identifying more with the Mafia life--at the expense of his regular one.,7.7,(337K)
104. Who Framed Roger Rabbit,1988,1h 44m,PG,"When a cartoon rabbit is accused of murder, he enlists the help of a burnt out private investigator to prove his innocence.",7.7,(220K)
